Institution Code	Catalog Number	Scientific Name	Collector	Collector Num Prefix	Collector Num	Collector Num Suffix	early J date	late J date	Date Collected	County	Elevation	Locality	Latitude	Longitude	Datum	Link Back	
CAS-BOT-BC	CAS-BOT-BC53697	Azolla filiculoides	Peter Raven; Henry J. Thompson		14676	A	2436860	2436860	October 18, 1959.	Los Angeles	220 m	Santa Monica Mountains - north arm of Malibu Lake	34.111600	-118.756500	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC53697" target="_blank">View Details</a>	
RSA	RSA717048	Azolla filiculoides	Fred M. Roberts, Chris M. Barnhill		6281		2453641	2453641	2005-09-27	Orange	27m	San Juan Capistrano: San Juan Creek wash, east of La Novia Road bridge, 1.4km E Mission San Juan Capistrano.	33.502222	-117.646944	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA717048" target="_blank">View Details</a>	
GMDRC	GMDRC5121	Azolla filiculoides	J. Andre, G. L. Clifton		18327		2455709	2455709	May 27 2011	Inyo	1237 m	Owens Valley: along Lubken Rd, approx 1 mi. west of US 395	36.542433	-118.061967	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=GMDRC5121" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68356	Azolla filiculoides	John Thomas Howell		39441		2438202	2438202	June 21, 1963	Monterey		Along Highway US 101, Prunedale	36.779611	-121.668696	Geolocate (copied from RSA201384)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68356" target="_blank">View Details</a>	
CHSC	CHSC44628	Azolla filiculoides	Vernon Oswald		2913		2446936	2446936	1987-05-20	Butte	80 m	Butte Creek Canyon Ecological Reserve on the s side of Butte Creek, ne of the Skyway.	39.707500	-121.746667	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC44628" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66105	Azolla filiculoides	Peter H. Raven		16645		2437553	2437553	10 September 1961	San Bernardino	822 m	along Mojave River just east of Victorville	34.537937	-117.290734	Geolocate (copied from JEPS11533)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66105" target="_blank">View Details</a>	
RSA	RSA751897	Azolla filiculoides	Justin M. Wood, Joy England		1212		2455040	2455040	2009-07-27	San Bernardino	351m	Chino Hills State Park. McDermont Spring.	33.916667	-117.741667	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA751897" target="_blank">View Details</a>	
UCR	UCR132769	Azolla filiculoides	A. C. Sanders, P. J. MacKay, Scott D. White, C. L. Sanders		15698		2449614	2449614	1994-Sep-18	San Bernardino	1494 m	San Bernardino Mtns, Clark's Ranch (site) along the Seven Pines Rd, c. 0.25 mi east of Deer Creek, Santa Ana River Canyon	34.181670	-116.976670	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR132769" target="_blank">View Details</a>	
CATA	CATA405	Azolla filiculoides	Mark L. Hoefs, A. Douglas Propst & Robert F. Thorne		532		2442303	2442303	12 Sep 1974	Los Angeles	22 m	Santa Catalina Island: Cottonwood Stream, above bridge at main road	33.3710848044202	-118.474003642766	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CATA405" target="_blank">View Details</a>	
HSC	HSC60017	Azolla filiculoides	M. A. Baker		566		2443649	2443649	20 May 1978	Humboldt		W side of the Klamath River along Hwy. 96	41.186500	-123.701000	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=HSC60017" target="_blank">View Details</a>	
SD	SD221479	Azolla filiculoides	Jon P. Rebman, W. Schmidtmann, L. Aerne & V. Marshall		22311		2455797	2455797	Aug 23, 2011	San Diego	844 m	Cleveland National Forest: around a large pond in Ritchie Creek just north of Eagle Peak Road; east side of pond	33.027310	-116.686030	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD221479" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66226	Azolla filiculoides	Robert F. Thorne; John Dourley; Selwyn Everist		41223		2441168	2441168	4 August 1971	Mono	2124 m	Inyo National Forest: c. 1/2 mi. above Hot Springs in Hot Creek	37.667900	-118.830200		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66226" target="_blank">View Details</a>	
SD	SD185052	Azolla filiculoides	Andrew C. Sanders		31776		2453651	2453651	Oct 07, 2005	San Diego		Buena Vista Lagoon Ecological Reserve, Oceanside, NW side of lagoon near Audubon Nature Center at Hill St./Carlsbad Blvd.	33.169170	-117.356670	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD185052" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66205	Azolla filiculoides	Clare B. Hardham		2747		2436156	2436156	11-13-57	San Luis Obispo		Santa Rita Creek	35.536604	-120.752850	GeoLocate	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66205" target="_blank">View Details</a>	
RSA	RSA216663	Azolla microphylla	Ernest C. Twisselmann		16499		2440713	2440713	1970-05-06	Kern	1005 m	Sierra Nevada: Canebrake Creek at the Chimney Creek Road Crossing.	35.749811	-118.112544	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA216663" target="_blank">View Details</a>	
UCR	UCR171760	Azolla filiculoides	Margaret R. Mulligan, Joe Barth		1284		2453578	2453578	2005-Jul-26	San Diego	112 m	McGinty Mountain Ecological Reserve (California Fish & Game). SE of city El Cajon. SE of intersection of Willow Glen Dr and Hillsdale Rd, in bed of Sweetwater River. San Diego Atlas Square R14	32.755140	-116.898530	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR171760" target="_blank">View Details</a>	
UCR	UCR207787	Azolla filiculoides	O. F. Clarke	s.n.			2453241	2453241	2004-Aug-23	Orange	91 m	Santa Ana River Valley, Yorba Linda, Yorba Regional Park, Santa Ana River bank near intersection of E. La Palma Ave. and Fairmont Blvd.	33.864440	-117.773890	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR207787" target="_blank">View Details</a>	
JEPS	JEPS89882	Azolla microphylla	Dean Wm. Taylor with Glenn L. Clifton		13220		2448858	2448858	Aug 23 1992	Plumas	1112 m	at bridge of Hwy. 207 ca. 1.3 mi. w. &lt;Cresent&gt; Mills (Indian Creek); Freather R. Watershed, Indian Creek	40.084100	-120.916800	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS89882" target="_blank">View Details</a>	
RSA	RSA618983	Azolla filiculoides	LeRoy Gross		69		2451077	2451077	1998-09-20	Los Angeles	365 m	Southern base San Gabriel Mtns.: Tujunga Ponds. West of 210 freeway in big Tujunga wash, city of Sunland	34.268468	-118.340982	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA618983" target="_blank">View Details</a>	
SBBG	SBBG31306	Azolla filiculoides	R. F. Thorne				2439383	2439383	14-Sep-1966	Los Angeles	53 m	lower Middle Ranch Cyn, ca. 0.75 mi above Ben Weston Beach	33.364600	-118.466100		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG31306" target="_blank">View Details</a>	
UCR	UCR277758	Azolla filiculoides	Mitch Provance		17040		2455772	2455772	2011-Jul-29	Riverside	244 m	Santa Ana River Valley, Santa Ana River Wash, area between Market St. and the 60 Freeway	34.005280	-117.380830	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR277758" target="_blank">View Details</a>	
RSA	RSA0064081	Azolla filiculoides	LeRoy Gross, Loraine Washburn		7308		2457143	2457143	2015-04-30	Ventura	193m	Vulcan Property; End of Torrey Road/Main street, south of Highway 126, and Piru. Surveyed up stream.	34.398090	-118.794980	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA0064081" target="_blank">View Details</a>	
UCSB	UCSB38544	Azolla filiculoides	Lampl, Diane				2444728	2444728	1981-05-03	Santa Barbara	228 m	Approximately 2/3 mile southeast of Rancho San Fernando Rey along extreme southeast edge of Lake Cachuma, in an area 200 yards either side of drainage of unnamed creek between dirt road and water's edge on 4/26/1981	34.558100	-119.893800	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB38544" target="_blank">View Details</a>	
RSA	RSA557315	Azolla filiculoides	Julie Greene, S. D. Boyd, Dave Bramlet, Hilda Flores, Helga Ochoterana		1418		2449178	2449178	1993-07-09	Riverside	433m	San Jacinto Wildlife Area: from the edge of drying flood area.	33.850000	-117.133333		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA557315" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68335	Azolla filiculoides	J. H. Thomas		3361		2434543	2434543	June 14, 1953	Santa Cruz	152 m	Camp Evers	37.041667	-122.028333	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68335" target="_blank">View Details</a>	
IRVC	IRVC29728	Azolla filiculoides	Mark A. Elvin, Barry S. Nerhus		5240		2454044	2454044	Nov 4 2006	Orange	1 m	Huntington Beach; 1.5 km SW of Wintersburg, SW of jct Slater and Goldenwest; Shipley Nature Center. Southern Coastal	33.7031944444445	-118.007194444444		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=IRVC29728" target="_blank">View Details</a>	
JEPS	JEPS117723	Azolla microphylla	Lowell Ahart, John Dittes		16955		2455408	2455408	07 30 2010	Siskiyou	716 m	Along the west edge of the Shasta River, about 120 yards northwest of the East Louie Road Bridge, Shasta Big Springs Ranch, 1.6 miles (air) southwest of Big Springs Lake, 4.6 miles (air) northwest of Dwinnel Dam, 5.7 miles (air) southeast of Grenada	41.590830	-122.438330	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS117723" target="_blank">View Details</a>	
RSA	RSA731721	Azolla filiculoides	Jeannie Gregory, Karen Rich		2109		2454169	2454169	2007-03-09	San Diego	494m	Ramona; Mount Gower Open Space Preserve; at dead end of Gunn Stage Rd ca 2 mi. N of intersection with San Vicente Rd.	33.019400	-116.793900	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA731721" target="_blank">View Details</a>	
JEPS	JEPS116119	Azolla filiculoides	Lowell Ahart		16412		2455113	2455113	10 08 2009	Butte	19 m	In a deep large ditch, on the east side of the road, about 20 yards east of Parking Lot 13, Gray Lodge Waterfowl Management Area, about 7 miles (air) southwest of Gridley	39.308887	-121.837230	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS116119" target="_blank">View Details</a>	
RSA	RSA195425	Azolla filiculoides	John Thomas		3649		2434675	2434675	1953-10-24	Santa Cruz		Davenport Landing	37.023333	-122.215000	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA195425" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC68374	Azolla filiculoides	John Thomas Howell		31805		2435712	2435712	Aug. 26, 1956.	San Francisco		San Francisco - Pine Lake	37.735800	-122.487800	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC68374" target="_blank">View Details</a>	
SD	SD194676	Azolla filiculoides	Jeremy Buegge		1419		2453953	2453953	Aug 05, 2006	San Diego	54 m	Escondido, San Dieguito River, ca. 500m west of Lake Hodges dam and 100m south of Del Dios Hwy	33.041700	-117.131700	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD194676" target="_blank">View Details</a>	
CHSC	CHSC8761	Azolla filiculoides	S. Chulasmai		2		2439210	2439210	1966-03-25	Butte		Highway 99 E (3 miles south of Chico) Dradger pond.	39.700833	-121.784722	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC8761" target="_blank">View Details</a>	
CHSC	CHSC76826	Azolla filiculoides	Lowell Ahart		8321		2451544	2451544	1999-12-31	Butte	32 m	Along the east side of the Sacramento River, northwest of Parrott Landing, about 1 mile southeast of Ord Ferry, about 2 miles southeast of Ordbend, about 12 miles (air) southwest of Chico.	39.619167	-121.979444	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC76826" target="_blank">View Details</a>	
UC	UC1738569	Azolla filiculoides	E. Neese, E. Painter	HL	708		2449526	2449526	Jun 22 1994	Monterey	300 m	Fort Hunter Liggett (Cantonment), both sides of Nacimiento-Fergusson Road bridge over San Antonio River, ca. 1.3 air km NNW of Oro Fino Canyon, ca. 4 air km NW of Lower Stony Reservoir	35.983015	-121.237964		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UC1738569" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC376136	Azolla filiculoides	Eve Laeger		553		2451898	2451898	19 Dec 2000	Kern	807 m	Western slope of the Southern Sierra Nevada. Kern Audubon Preserve. Off of Sierra Way north slope of the South Fork Kern River	35.673611	-118.326389	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC376136" target="_blank">View Details</a>	
SD	SD75731	Azolla filiculoides	D. W. Taylor	T	70	 51	2440742	2440742	Jun 04, 1970	San Luis Obispo		Reservoir Canyon: 900' E, 1700' S, S30, T30S, R13E.	38.039170	-120.943610	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SD75731" target="_blank">View Details</a>	
UCR	UCR123672	Azolla filiculoides	George K. Helmkamp, Elizabeth Helmkamp		5324		2451468	2451468	1999-Oct-16	Mono	2119 m	Sierra Nevada Mountains, Along Owens River, 0.6 mi NW of Benton's Crossing.	37.721670	-118.793330	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR123672" target="_blank">View Details</a>	
CHSC	CHSC50017	Azolla filiculoides	Lowell Ahart		6409		2447909	2447909	1990-01-17	Butte	301 m	Below the high water line of Lake Oroville, west of the Enterprise Boat Launch Area, about 1/4 mile north-west of the Enterprise Bridge across Lake Oroville.	39.541111	-121.343611	NAD 1983	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC50017" target="_blank">View Details</a>	
SBBG	SBBG26221	Azolla filiculoides	E. C. Twisselmann		12734		2439364	2439364	26-Aug-1966	Kern	792 m	Cedar Crk, 0.25 mi below mouth of Lumreau Crk	35.674000	-118.721000		<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=SBBG26221" target="_blank">View Details</a>	
JEPS	JEPS124281	Azolla filiculoides	Lowell Ahart		20652		2457345	2457345	Nov 18, 2015	Butte		About 2 miles southeast of intersection of Palm Avenue and Larkin Road, about 5 miles (air) northeast of Gridley.	39.403194	-121.619194	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=JEPS124281" target="_blank">View Details</a>	
UCSB	UCSB56894	Azolla filiculoides	Ferren, Wayne				2447006	2447006	1987-07-29	Santa Barbara		Shuman Creek estuary, Vandenberg Air Base	34.845000	-120.607000	NAD83	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCSB56894" target="_blank">View Details</a>	
RSA	RSA713587	Azolla filiculoides	A. C. Sanders		20557		2450559	2450559	1997-04-20	Kern	762m	San Emigdio Range: San Emigdio Ranch, along dirt road from San Emigdio Canyon south to Los Lobos Creek	34.948889	-119.214722	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA713587" target="_blank">View Details</a>	
UCR	UCR127646	Azolla filiculoides	A. C. Sanders, Mark Elvin, Dave Fleitner		27131		2452858	2452858	2003-Aug-6	Los Angeles	280 m	NE end of Santa Susana Mtns., Newhall Ranch, Santa Clara Riverbed, below confluence of Castaic Creek, east of Del Valle	34.418610	-118.636940	not recorded	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=UCR127646" target="_blank">View Details</a>	
RSA	RSA192262	Azolla filiculoides	Earl W. Lathrop		5609		2438850	2438850	1965-03-30	Riverside		12 miles west of Murrieta. Tenaja Range	33.512500	-117.326100	WGS84	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=RSA192262" target="_blank">View Details</a>	
CHSC	CHSC108318	Azolla microphylla	Lowell Ahart		17633		2455791	2455791	2011-08-17	Butte	249 m	On the west edge of the pond, on the east side of the trail and dam, at the old homestead, about 100 yards south of Ten Mile House Road, about 5/8 mile (air) west of Highway 32, about 9 miles (air) northeast of Chico.	39.801944	-121.726944	NULL	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CHSC108318" target="_blank">View Details</a>	
CAS-BOT-BC	CAS-BOT-BC66213	Azolla filiculoides	D. E. Breedlove		4119		2437884	2437884	Aug. 7, 1962	Santa Barbara		near mouth of Santa Maria River, 2 miles west of Guadalupe	34.959900	-120.636800	Terrain Nav. v. 8.7 (copied from DS500936)	<a href="https://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?&uk=CAS-BOT-BC66213" target="_blank">View Details</a>	
